89480543,2176,111,1258,1218,1206,3504,0,2959,1019,214,266,140,825,0,48,77,29,44,2,2
89480543,1086,904,2186,2178,2206,7116,1,2176,139,822,821,820,819,0,45,77,27,12,6,2
46455312,3973,1970,7951,5736,1984,2462,0,6880,405,1083,1082,1081,1080,377,64,82,10,9,2,80
46455312,1998,2710,81417,27839,4758,5738,1,3973,405,1048,1047,1046,1079,377,54,20,3,20,0,54
52191806,8870,4164,60647,4878,1921,103,0,7254,688,901,301,466,465,377,73,0,37,7,7,29
52191806,2827,67197,5502,9005,748,54771,1,8870,1049,823,1023,1022,997,377,55,37,28,2,12,31
87829331,97752,6303,741,1748,94864,26203,0,8644,28,404,120,119,118,550,59,3,37,7,0,60
87829331,27728,1274,27660,5072,541,31184,1,741,335,993,822,821,820,550,58,8,48,18,8,59
71372104,1289,6645,1175,8939,32898,52950,0,8914,823,335,1047,1046,534,550,23,39,2,4,71,84
71372104,3677,5684,96606,7096,1211,2932,1,1289,994,535,887,886,885,550,52,69,16,6,25,27
25587658,32031,79091,67408,81564,76093,59784,0,33615,370,308,28,370,370,784,44,22,53,44,44,57
25587658,72209,67408,85736,79091,60069,90647,1,32031,886,418,28,18,783,784,31,29,53,34,0,56
