14700386,318,62049,1209,2921,1193,6987,0,2959,1019,214,266,140,825,0,48,50,29,24,2,2
14700386,2117,6305,2010,48774,3181,3461,1,62049,823,284,821,820,819,0,47,51,45,2,24,3
59520715,3973,1970,7951,5736,1984,2462,0,6880,405,1083,1082,1081,1080,377,64,82,10,9,2,87
59520715,1998,2710,81417,27839,4758,5738,1,3973,405,1048,1047,1046,1079,377,54,20,3,20,0,54
51637546,59709,3044,1834,54372,74458,78349,0,7254,688,901,301,466,465,377,79,0,37,7,7,29
51637546,51086,4610,1480,7362,5312,78349,1,59709,267,1022,1021,551,550,377,51,2,1,4,22,38
30793383,1653,70286,85414,1584,2571,96610,0,8644,28,404,120,119,118,550,59,3,37,7,0,89
30793383,68237,541,52328,2009,104841,1748,1,1653,994,1048,1047,1046,823,550,49,39,2,9,41,80
24656727,4813,2672,50011,36363,4416,680,0,8914,823,335,1047,1046,534,550,18,39,2,4,71,84
24656727,1037,8939,71530,172,2600,34319,1,2672,1090,18,997,996,995,550,54,39,16,36,7,45
17417683,85736,67295,79091,72356,67408,78499,0,33615,370,308,28,370,370,784,44,0,53,44,44,62
17417683,50872,4886,83803,68954,85736,2355,1,72356,229,1089,1088,1087,983,784,61,59,26,1,12,98
